Group 46, TypeA,  11.010, 11, 10, UTaX_CB_HV11, 240, UTaX_3CB_M2, 229, UTaX_4CB_S2, 232, UTaX_4CB_S1, 226, UTaX_4CB_M2, 231, UTaX_5CB_S1, 234
Group 47, TypeA,  11.011, 11, 11, UTaX_CB_HV12, 240, UTaX_5CB_M2, 230, UTaX_6CB_S1, 233, UTaX_6CB_M2, 239, UTaX_7CB_S1, 221
Group 48, TypeA,  10.006, 10, 6, UTaX_CB_HV13, 290, UTaX_7CB_S2, 223, UTaX_7CB_M2, 231, UTaX_8CB_S1, 286, UTaX_8CB_M2, 240
Group 49, TypeA,  10.007, 10, 7, UTaX_CB_HV14, 230, UTaX_1CB_S3,   0, UTaX_1CB_M3, 227, UTaX_2CB_S2, 224
Group 50, TypeA,  10.008, 10, 8, UTaX_CB_HV15, 240, UTaX_2CB_M3, 214, UTaX_3CB_S2, 227, UTaX_3CB_M3, 227, UTaX_4CB_S3, 229, UTaX_4CB_M3, 228, UTaX_5CB_S2, 234
Group 51, TypeA,  10.009, 10, 9, UTaX_CB_HV16, 250, UTaX_5CB_M3, 229, UTaX_6CB_S2, 231, UTaX_6CB_M3, 231, UTaX_7CB_S3, 215, UTaX_7CB_M3, 230, UTaX_8CB_S2, 293, UTaX_8CB_M3, 227,    ....Vgroup updated!! , 215.134, 230.912, 292.561
Group 52, TypeA,  10.010, 10, 10, UTaX_CB_HV17, 240, UTaX_1CB_S4, 236, UTaX_1CB_M4, 238, UTaX_2CB_S3, 231, UTaX_2CB_M4, 234, UTaX_3CB_S3, 229, UTaX_3CB_M4, 232, UTaX_4CB_M4, 226
Group 53, TypeA,  10.011, 10, 11, UTaX_CB_HV18, 250, UTaX_5CB_S3, 231, UTaX_5CB_M4, 225, UTaX_6CB_S3, 231, UTaX_6CB_M4, 204, UTaX_7CB_M4, 218, UTaX_8CB_S3, 283, UTaX_8CB_M4, 223,    ....Vgroup updated!! , 204.127, 231.195, 283.423
Group 54, TypeD,  11.000, 11, 0, UTaX_AB_HV1, 220, UTaX_1AB_S1, 214
Group 55, TypeC,  11.001, 11, 1, UTaX_AB_HV2, 190, UTaX_1AB_M1, 184
Group 56, TypeB,  11.002, 11, 2, UTaX_AB_HV3, 260, UTaX_1AB_S2, 252
Group 57, TypeB,  11.003, 11, 3, UTaX_AB_HV4, 250, UTaX_2AB_M1, 250
Group 58, TypeB,  11.004, 11, 4, UTaX_AB_HV5, 250, UTaX_2AB_S1, 242
Group 59, TypeA,  11.005, 11, 5, UTaX_AB_HV6, 230, UTaX_3AB_M1, 222
Group 60, TypeA,  11.006, 11, 6, UTaX_AB_HV7, 240, UTaX_4AB_M1, 232, UTaX_5AB_M1, 233
Group 61, TypeA,  11.007, 11, 7, UTaX_AB_HV8, 240, UTaX_6AB_M1, 227, UTaX_7AB_M1, 228, UTaX_8AB_M1, 236
Group 62, TypeA,  11.008, 11, 8, UTaX_AB_HV9, 220, UTaX_1AB_M2, 219, UTaX_2AB_M2, 210
Group 63, TypeA,  11.009, 11, 9, UTaX_AB_HV10, 230, UTaX_3AB_S1, 222
Group 64, TypeA,  11.010, 11, 10, UTaX_AB_HV11, 230, UTaX_3AB_M2, 216, UTaX_4AB_S2, 225, UTaX_4AB_S1, 225, UTaX_4AB_M2, 228, UTaX_5AB_S1, 229
Group 65, TypeA,  11.011, 11, 11, UTaX_AB_HV12, 250, UTaX_5AB_M2, 221, UTaX_6AB_S1, 241, UTaX_6AB_M2, 227, UTaX_7AB_S1, 230
Group 66, TypeA,  10.006, 10, 6, UTaX_AB_HV13, 290, UTaX_7AB_S2, 218, UTaX_7AB_M2, 220, UTaX_8AB_S1, 224, UTaX_8AB_M2, 287
Group 67, TypeA,  10.007, 10, 7, UTaX_AB_HV14, 250, UTaX_1AB_S3, 246, UTaX_1AB_M3, 220, UTaX_2AB_S2, 203
Group 68, TypeA,  10.008, 10, 8, UTaX_AB_HV15, 240, UTaX_2AB_M3, 213, UTaX_3AB_S2, 217, UTaX_3AB_M3, 224, UTaX_4AB_S3, 228, UTaX_4AB_M3, 224, UTaX_5AB_S2, 284,    ....Vgroup updated!! , 213.293, 227.835, 283.913
Group 69, TypeA,  10.009, 10, 9, UTaX_AB_HV16, 280, UTaX_5AB_M3, 225, UTaX_6AB_S2, 222, UTaX_6AB_M3, 228, UTaX_7AB_S3, 218, UTaX_7AB_M3, 217, UTaX_8AB_S2, 241, UTaX_8AB_M3, 276
Group 70, TypeA,  10.010, 10, 10, UTaX_AB_HV17, 280, UTaX_1AB_S4, 221, UTaX_1AB_M4, 279, UTaX_2AB_S3, 213, UTaX_2AB_M4, 217, UTaX_3AB_S3, 226, UTaX_3AB_M4, 225, UTaX_4AB_M4, 219
Group 71, TypeA,  10.011, 10, 11, UTaX_AB_HV18, 280, UTaX_5AB_S3, 267, UTaX_5AB_M4, 219, UTaX_6AB_S3, 224, UTaX_6AB_M4, 232, UTaX_7AB_M4, 232, UTaX_8AB_S3, 277, UTaX_8AB_M4, 259
Group 72, TypeD,   3.000, 3, 0, UTaU_AT_HV1, 220, UTaU_1AT_S1, 215
Group 73, TypeC,   3.001, 3, 1, UTaU_AT_HV2, 190, UTaU_1AT_M1, 189
Group 74, TypeB,   3.002, 3, 2, UTaU_AT_HV3, 260, UTaU_1AT_S2, 252
Group 75, TypeB,   3.003, 3, 3, UTaU_AT_HV4, 280, UTaU_2AT_M1, 270
Group 76, TypeB,   3.004, 3, 4, UTaU_AT_HV5, 280, UTaU_2AT_S1, 273
Group 77, TypeA,   3.005, 3, 5, UTaU_AT_HV6, 230, UTaU_3AT_M1, 222
Group 78, TypeA,   3.006, 3, 6, UTaU_AT_HV7, 240, UTaU_4AT_M1, 226, UTaU_5AT_M1, 231
Group 79, TypeA,   3.007, 3, 7, UTaU_AT_HV8, 240, UTaU_6AT_M1, 237, UTaU_7AT_M1, 214, UTaU_8AT_M1,   0
Group 80, TypeA,   3.008, 3, 8, UTaU_AT_HV9, 230, UTaU_1AT_M2, 221, UTaU_2AT_M2,   0
Group 81, TypeA,   3.009, 3, 9, UTaU_AT_HV10, 230, UTaU_3AT_S1, 226
Group 82, TypeA,   3.010, 3, 10, UTaU_AT_HV11, 240, UTaU_3AT_M2, 229, UTaU_4AT_M2, 230, UTaU_4AT_S1, 233, UTaU_4AT_S2, 235, UTaU_5AT_S1, 237
Group 83, TypeA,   3.011, 3, 11, UTaU_AT_HV12, 240, UTaU_5AT_M2, 232, UTaU_6AT_M2, 237, UTaU_6AT_S1, 229, UTaU_7AT_S1, 232
Group 84, TypeA,   4.000, 4, 0, UTaU_AT_HV13, 240, UTaU_7AT_M2, 230, UTaU_7AT_S2, 238, UTaU_8AT_M2,   0, UTaU_8AT_S1, 226
Group 85, TypeA,   4.001, 4, 1, UTaU_AT_HV14, 240, UTaU_1AT_M3, 234, UTaU_1AT_S3, 205, UTaU_2AT_S2, 224
Group 86, TypeA,   4.002, 4, 2, UTaU_AT_HV15, 240, UTaU_2AT_M3, 218, UTaU_3AT_M3, 232, UTaU_3AT_S2, 230, UTaU_4AT_M3, 225, UTaU_4AT_S3, 229, UTaU_5AT_S2, 233
Group 87, TypeA,   4.003, 4, 3, UTaU_AT_HV16, 240, UTaU_5AT_M3, 235, UTaU_6AT_M3, 228, UTaU_6AT_S2, 235, UTaU_7AT_M3, 225, UTaU_7AT_S3, 233, UTaU_8AT_M3, 209, UTaU_8AT_S2, 232
Group 88, TypeA,   4.004, 4, 4, UTaU_AT_HV17, 240, UTaU_1AT_M4, 239, UTaU_1AT_S4, 235, UTaU_2AT_M4, 229, UTaU_2AT_S3, 219, UTaU_3AT_M4, 229, UTaU_3AT_S3, 229, UTaU_4AT_M4,   0
Group 89, TypeA,   4.005, 4, 5, UTaU_AT_HV18, 290, UTaU_5AT_M4, 230, UTaU_5AT_S3, 227, UTaU_6AT_M4, 240, UTaU_6AT_S3, 225, UTaU_7AT_M4, 302, UTaU_8AT_M4,   0, UTaU_8AT_S3, 272,    ....Vgroup updated!! , 224.972, 271.984, 301.566
Group 90, TypeD,   3.000, 3, 0, UTaU_CT_HV1, 200, UTaU_1CT_S1, 196
Group 91, TypeC,   3.001, 3, 1, UTaU_CT_HV2, 190, UTaU_1CT_M1, 185
Group 92, TypeB,   3.002, 3, 2, UTaU_CT_HV3, 260, UTaU_1CT_S2, 251
Group 93, TypeB,   3.003, 3, 3, UTaU_CT_HV4, 260, UTaU_2CT_M1, 257
Group 94, TypeB,   3.004, 3, 4, UTaU_CT_HV5, 270, UTaU_2CT_S1, 269
Group 95, TypeA,   3.005, 3, 5, UTaU_CT_HV6, 230, UTaU_3CT_M1, 221
Group 96, TypeA,   3.006, 3, 6, UTaU_CT_HV7, 240, UTaU_4CT_M1, 225, UTaU_5CT_M1, 231
Group 97, TypeA,   3.007, 3, 7, UTaU_CT_HV8, 290, UTaU_6CT_M1, 233, UTaU_7CT_M1, 228, UTaU_8CT_M1, 285
Group 98, TypeA,   3.008, 3, 8, UTaU_CT_HV9, 230, UTaU_1CT_M2, 221, UTaU_2CT_M2, 183
Group 99, TypeA,   3.009, 3, 9, UTaU_CT_HV10, 230, UTaU_3CT_S1, 227
Group 100, TypeA,   3.010, 3, 10, UTaU_CT_HV11, 240, UTaU_3CT_M2, 219, UTaU_4CT_M2, 226, UTaU_4CT_S1, 223, UTaU_4CT_S2, 233, UTaU_5CT_S1, 229
Group 101, TypeA,   3.011, 3, 11, UTaU_CT_HV12, 240, UTaU_5CT_M2, 229, UTaU_6CT_M2, 231, UTaU_6CT_S1, 225, UTaU_7CT_S1, 224
Group 102, TypeA,   4.000, 4, 0, UTaU_CT_HV13, 290, UTaU_7CT_M2, 229, UTaU_7CT_S2, 232, UTaU_8CT_M2, 289, UTaU_8CT_S1, 226
Group 103, TypeA,   4.001, 4, 1, UTaU_CT_HV14, 230, UTaU_1CT_M3, 221, UTaU_1CT_S3, 208, UTaU_2CT_S2, 189
Group 104, TypeA,   4.002, 4, 2, UTaU_CT_HV15, 240, UTaU_2CT_M3, 229, UTaU_3CT_M3, 224, UTaU_3CT_S2, 234, UTaU_4CT_M3, 231, UTaU_4CT_S3, 233, UTaU_5CT_S2, 234
Group 105, TypeA,   4.003, 4, 3, UTaU_CT_HV16, 240, UTaU_5CT_M3, 231, UTaU_6CT_M3, 229, UTaU_6CT_S2, 229, UTaU_7CT_M3, 227, UTaU_7CT_S3, 228, UTaU_8CT_M3, 226, UTaU_8CT_S2, 231
Group 106, TypeA,   4.004, 4, 4, UTaU_CT_HV17, 240, UTaU_1CT_M4, 212, UTaU_1CT_S4, 219, UTaU_2CT_M4, 211, UTaU_2CT_S3, 223, UTaU_3CT_M4, 226, UTaU_3CT_S3, 230, UTaU_4CT_M4, 233
Group 107, TypeA,   4.005, 4, 5, UTaU_CT_HV18, 280, UTaU_5CT_M4, 226, UTaU_5CT_S3, 232, UTaU_6CT_M4, 218, UTaU_6CT_S3, 230, UTaU_7CT_M4, 279, UTaU_8CT_M4, 229, UTaU_8CT_S3, 227
Group 108, TypeD,   9.000, 9, 0, UTaU_CB_HV1, 210, UTaU_1CB_S1, 201
Group 109, TypeC,   9.001, 9, 1, UTaU_CB_HV2, 190, UTaU_1CB_M1, 189
Group 110, TypeB,   9.002, 9, 2, UTaU_CB_HV3, 260, UTaU_1CB_S2, 250
Group 111, TypeB,   9.003, 9, 3, UTaU_CB_HV4, 270, UTaU_2CB_M1, 268
Group 112, TypeB,   9.004, 9, 4, UTaU_CB_HV5, 280, UTaU_2CB_S1, 278
Group 113, TypeA,   9.005, 9, 5, UTaU_CB_HV6, 230, UTaU_3CB_M1, 223
Group 114, TypeA,   9.006, 9, 6, UTaU_CB_HV7, 230, UTaU_4CB_M1, 228, UTaU_5CB_M1, 228
Group 115, TypeA,   9.007, 9, 7, UTaU_CB_HV8, 230, UTaU_6CB_M1, 227, UTaU_7CB_M1, 226, UTaU_8CB_M1, 217
Group 116, TypeA,   9.008, 9, 8, UTaU_CB_HV9, 240, UTaU_1CB_M2, 220, UTaU_2CB_M2, 233
Group 117, TypeA,   9.009, 9, 9, UTaU_CB_HV10, 220, UTaU_3CB_S1, 219
Group 118, TypeA,   9.010, 9, 10, UTaU_CB_HV11, 240, UTaU_3CB_M2, 233, UTaU_4CB_S2, 226, UTaU_4CB_S1, 224, UTaU_4CB_M2, 231, UTaU_5CB_S1, 227
Group 119, TypeA,   9.011, 9, 11, UTaU_CB_HV12, 230, UTaU_5CB_M2, 229, UTaU_6CB_S1, 229, UTaU_6CB_M2, 225, UTaU_7CB_S1, 230
Group 120, TypeA,  10.000, 10, 0, UTaU_CB_HV13, 240, UTaU_7CB_S2, 234, UTaU_7CB_M2, 231, UTaU_8CB_S1, 218, UTaU_8CB_M2, 226
Group 121, TypeA,  10.001, 10, 1, UTaU_CB_HV14, 220, UTaU_1CB_S3, 210, UTaU_1CB_M3, 217, UTaU_2CB_S2, 193
Group 122, TypeA,  10.002, 10, 2, UTaU_CB_HV15, 240, UTaU_2CB_M3, 218, UTaU_3CB_S2,   0, UTaU_3CB_M3, 233, UTaU_4CB_S3, 236, UTaU_4CB_M3, 231, UTaU_5CB_S2, 229
