Group 131, TypeA,   9.005, 9, 5, UTaU_AB_HV6, 230, UTaU_3AB_M1, 222
Group 132, TypeA,   9.006, 9, 6, UTaU_AB_HV7, 230, UTaU_4AB_M1, 225, UTaU_5AB_M1, 229
Group 133, TypeA,   9.007, 9, 7, UTaU_AB_HV8, 240, UTaU_6AB_M1, 232, UTaU_7AB_M1, 216, UTaU_8AB_M1, 216
Group 134, TypeA,   9.008, 9, 8, UTaU_AB_HV9, 220, UTaU_1AB_M2, 217, UTaU_2AB_M2, 208
Group 135, TypeA,   9.009, 9, 9, UTaU_AB_HV10, 230, UTaU_3AB_S1, 221
Group 136, TypeA,   9.010, 9, 10, UTaU_AB_HV11, 280, UTaU_3AB_M2, 221, UTaU_4AB_S2, 221, UTaU_4AB_S1, 225, UTaU_4AB_M2, 270, UTaU_5AB_S1, 230
Group 137, TypeA,   9.011, 9, 11, UTaU_AB_HV12, 290, UTaU_5AB_M2, 282, UTaU_6AB_S1, 230, UTaU_6AB_M2, 228, UTaU_7AB_S1, 230
Group 138, TypeA,  10.000, 10, 0, UTaU_AB_HV13, 240, UTaU_7AB_S2, 222, UTaU_7AB_M2, 222, UTaU_8AB_S1, 232, UTaU_8AB_M2, 213
Group 139, TypeA,  10.001, 10, 1, UTaU_AB_HV14, 240, UTaU_1AB_S3, 216, UTaU_1AB_M3, 235, UTaU_2AB_S2, 217
Group 140, TypeA,  10.002, 10, 2, UTaU_AB_HV15, 230, UTaU_2AB_M3, 217, UTaU_3AB_S2, 227, UTaU_3AB_M3, 224, UTaU_4AB_S3, 228, UTaU_4AB_M3, 226, UTaU_5AB_S2, 224
Group 141, TypeA,  10.003, 10, 3, UTaU_AB_HV16, 240, UTaU_5AB_M3, 230, UTaU_6AB_S2, 221, UTaU_6AB_M3, 229, UTaU_7AB_S3, 212, UTaU_7AB_M3, 229, UTaU_8AB_S2, 235, UTaU_8AB_M3, 236
