HV group: 82 UTaX_CB_HV8 SenID(s)=  632 646 653 654 667 -1 -1 -1 -1  SenName(s)=  UTaU_3AT_M2 UTaU_4AT_M2 UTaU_4AT_S1 UTaU_4AT_S2 UTaU_5AT_S1 
HV group: 83 UTaX_CT_HV12 SenID(s)=  660 674 681 695 -1 -1 -1 -1 -1  SenName(s)=  UTaU_5AT_M2 UTaU_6AT_M2 UTaU_6AT_S1 UTaU_7AT_S1 
HV group: 84 UTaX_CT_HV16 SenID(s)=  688 696 702 709 -1 -1 -1 -1 -1  SenName(s)=  UTaU_7AT_M2 UTaU_7AT_S2 UTaU_8AT_M2 UTaU_8AT_S1 
HV group: 85 UTaX_CT_HV18 SenID(s)=  604 612 626 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_1AT_M3 UTaU_1AT_S3 UTaU_2AT_S2 
HV group: 86 UTaX_CB_HV16 SenID(s)=  619 633 640 647 655 668 -1 -1 -1  SenName(s)=  UTaU_2AT_M3 UTaU_3AT_M3 UTaU_3AT_S2 UTaU_4AT_M3 UTaU_4AT_S3 UTaU_5AT_S2 
HV group: 87 UTaX_CB_HV13 SenID(s)=  661 675 682 689 697 703 710 -1 -1  SenName(s)=  UTaU_5AT_M3 UTaU_6AT_M3 UTaU_6AT_S2 UTaU_7AT_M3 UTaU_7AT_S3 UTaU_8AT_M3 UTaU_8AT_S2 
HV group: 88 UTaX_CB_HV12 SenID(s)=  605 613 620 627 634 641 648 -1 -1  SenName(s)=  UTaU_1AT_M4 UTaU_1AT_S4 UTaU_2AT_M4 UTaU_2AT_S3 UTaU_3AT_M4 UTaU_3AT_S3 UTaU_4AT_M4 
HV group: 89 UTaX_CT_HV8 SenID(s)=  662 669 676 683 690 704 711 -1 -1  SenName(s)=  UTaU_5AT_M4 UTaU_5AT_S3 UTaU_6AT_M4 UTaU_6AT_S3 UTaU_7AT_M4 UTaU_8AT_M4 UTaU_8AT_S3 
HV group: 90 UTaX_CT_HV13 SenID(s)=  126 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_1CT_S1 
HV group: 91 UTaX_CT_HV16 SenID(s)=  118 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_1CT_M1 
